的	1	1
我	1	2
你	1	3
是	1	4
了	1	5
不	1	6
在	1	7
他	1	8
我们	1	9
好	1	10
有	1	11
这	1	12
就	2	13
会	1	14
吗	1	15
要	2	16
什么	1	17
说	1	18
她	1	19
想	1	20
一	1	21
很	1	22
知道	2	23
人	1	24
吧	2	25
那	1	26
来	1	27
都	1	28
个	1	29
能	1	30
去	1	31
和	1	32
到	2	33
对	1	34
也	2	35
啊	3	36
还	2	37
把	3	38
让	2	39
做	1	40
给	2	41
上	1	42
过	2	43
没有	1	44
得	2	45
看	1	46
真	2	47
着	2	48
怎么	1	49
现在	1	50
可以	2	51
点	1	52
呢	1	53
如果	3	54
只	3	55
别	2	56
哦	6	57
被	3	58
走	2	59
太	1	60
里	1	61
跟	3	62
告诉	2	63
因为	2	64
自己	3	65
再	1	66
听	1	67
快	2	68
谁	1	69
但是	2	70
多	1	71
用	3	72
时候	1	73
下	1	74
已经	2	75
谢谢	1	76
为什么	2	77
觉得	2	78
像	3	79
它	2	80
从	2	81
先生	1	82
找	2	83
最	2	84
喜欢	1	85
为	2	86
大	1	87
可能	2	88
需要	3	89
死	4	90
次	2	91
出	1	92
干	3	93
嘿	6	94
而	3	95
东西	1	96
应该	3	97
孩子	2	98
起来	3	99
所以	2	100
才	3	101
两	2	102
错	2	103
又	3	104
小	1	105
叫	1	106
嗯	5	107
等	2	108
问题	2	109
一起	2	110
拿	3	111
更	3	112
开始	2	113
爱	1	114
带	3	115
时间	2	116
年	1	117
请	1	118
回	1	119
工作	1	120
然后	3	121
当	3	122
钱	1	123
一样	3	124
事情	2	125
吃	1	126
所有	4	127
开	1	128
一下	2	129
家	1	130
非常	2	131
希望	2	132
哪	1	133
当然	3	134
也许	4	135
行	3	136
朋友	1	137
妈妈	1	138
相信	3	139
嗨	6	140
认为	3	141
今天	1	142
明白	3	143
一直	3	144
杀	5	145
地方	3	146
不过	4	147
发生	4	148
几	1	149
准备	2	150
爸爸	1	151
一切	4	152
抱歉	4	153
比	2	154
感觉	4	155
些	1	156
怎么样	1	157
对不起	1	158
问	2	159
离开	3	160
一定	3	161
还是	3	162
发现	3	163
所	2	164
住	1	165
件	2	166
正	2	167
而且	3	168
必须	3	169
意思	2	170
放	3	171
肯定	4	172
为了	3	173
搞	5	174
棒	4	175
第一	2	176
地	3	177
进	2	178
大家	2	179
新	2	180
您	2	181
向	3	182
三	1	183
以为	4	184
高兴	1	185
嘛	6	186
老	1	187
位	3	188
掉	4	189
先	1	190
生活	4	191
之	4	192
买	1	193
种	3	194
医生	1	195
最后	3	196
任何	4	197
哪儿	1	198
名字	1	199
认识	1	200
坐	1	201
其他	3	202
喝	1	203
记得	3	204
家伙	6	205
与	4	206
或者	3	207
写	1	208
穿	2	209
弄	4	210
过去	3	211
啦	6	212
却	4	213
担心	3	214
继续	4	215
送	2	216
以	2	217
玩	2	218
亲爱	5	219
条	2	220
够	4	221
父亲	4	222
以前	3	223
月	1	224
长	2	225
完全	4	226
宝贝	5	227
号	1	228
枪	5	229
狗	1	230
可是	4	231
世界	3	232
小时	2	233
重要	3	234
谈	4	235
别人	3	236
机会	3	237
岁	1	238
看见	1	239
打电话	1	240
喂	1	241
好像	4	242
警察	4	243
完	2	244
张	3	245
儿子	1	246
漂亮	1	247
分钟	1	248
接	3	249
场	2	250
再见	1	251
刚	3	252
如何	5	253
比赛	3	254
呀	4	255
情况	4	256
关系	3	257
女士	5	258
本	1	259
马上	3	260
决定	3	261
根本	5	262
关于	3	263
难	3	264
只要	4	265
份	4	266
每	2	267
到底	4	268
了解	3	269
明天	1	270
站	2	271
结束	3	272
公司	2	273
成为	4	274
永远	4	275
帮助	2	276
多少	1	277
哇	6	278
确定	5	279
清楚	3	280
晚上	2	281
安全	4	282
块	1	283
留	3	284
愿意	3	285
计划	4	286
俩	4	287
停	4	288
说话	2	289
花	3	290
门	2	291
感谢	4	292
照片	3	293
欢迎	3	294
敢	4	295
兄弟	5	296
从来	4	297
总是	3	298
嘴	3	299
拜托	6	300
女儿	1	301
抓	5	302
小姐	1	303
赢	4	304
消息	4	305
女	1	306
忙	2	307
或许	5	308
拉	4	309
衣服	1	310
救	5	311
参加	3	312
办法	3	313
唯一	5	314
选择	3	315
坏	3	316
原因	4	317
连	4	318
确实	4	319
挺	4	320
水	1	321
保证	4	322
学校	1	323
卖	2	324
接受	4	325
改变	4	326
高	1	327
麻烦	4	328
出现	4	329
打算	3	330
电影	1	331
试	2	332
房间	2	333
不管	4	334
书	1	335
特别	3	336
注意	3	337
甚至	4	338
保护	4	339
真正	4	340
结果	4	341
表现	5	342
拍	5	343
其实	3	344
小心	3	345
路	2	346
呆	5	347
四	1	348
久	3	349
当时	4	350
懂	2	351
只有	3	352
马	3	353
讲	3	354
绝对	5	355
至少	4	356
律师	4	357
整个	5	358
表演	4	359
正在	2	360
无	4	361
笑	2	362
远	2	363
故事	3	364
换	3	365
结婚	3	366
猜	4	367
咱们	4	368
处理	5	369
妻子	2	370
进行	4	371
内	4	372
是否	4	373
段	3	374
行动	5	375
努力	3	376
害怕	3	377
发	3	378
调查	4	379
失去	5	380
成功	4	381
考虑	4	382
刚才	3	383
约会	4	384
节目	3	385
通过	4	386
开心	4	387
母亲	4	388
辆	3	389
主意	4	390
丈夫	2	391
倒	4	392
离	2	393
解释	4	394
往	2	395
万	3	396
联系	4	397
派	5	398
关	1	399
证明	4	400
五	1	401
生命	4	402
靠	5	403
解决	3	404
办公室	3	405
难道	4	406
作为	5	407
奇怪	3	408
由	4	409
男	2	410
同意	3	411
游戏	3	412
帮忙	3	413
指	4	414
危险	4	415
讨厌	4	416
曾经	5	417
眼睛	2	418
国家	3	419
总统	5	420
伤害	5	421
控制	5	422
最近	3	423
声音	3	424
快乐	2	425
偷	5	426
首	4	427
可爱	3	428
哈	5	429
醒	4	430
分	1	431
完成	3	432
医院	1	433
而已	6	434
半	3	435
样子	4	436
少	1	437
有趣	4	438
提	3	439
没关系	1	440
部分	4	441
要求	3	442
糟糕	5	443
除了	3	444
容易	3	445
保持	5	446
虽然	2	447
教	2	448
理解	4	449
证据	5	450
脸	3	451
简单	3	452
夫人	6	453
重	3	454
事实	5	455
飞机	1	456
家庭	5	457
装	5	458
秘密	5	459
尸体	6	460
检查	3	461
早上	2	462
任务	4	463
现场	6	464
使	4	465
转	4	466
博士	4	467
紧张	4	468
二	1	469
简直	5	470
放弃	4	471
电视	1	472
大概	4	473
的确	5	474
药	2	475
音乐	3	476
身体	2	477
血	5	478
方式	5	479
监狱	6	480
读	1	481
重新	4	482
瞧	5	483
疯狂	5	484
其中	4	485
片	3	486
黑	2	487
后面	1	488
昨天	1	489
记录	5	490
来自	4	491
越	3	492
照顾	3	493
太太	5	494
聪明	3	495
本来	4	496
甜	3	497
并且	4	498
直接	4	499
对于	4	500
突然	3	501
啥	6	502
除非	5	503
正常	4	504
死亡	6	505
终于	3	506
拥有	6	507
船	3	508
遍	4	509
咖啡	2	510
傻	5	511
阻止	5	512
想象	5	513
冷静	4	514
方法	4	515
扔	4	516
能力	4	517
完美	5	518
克	4	519
口	3	520
目标	5	521
日	2	522
精神	5	523
另外	4	524
放松	4	525
丢	4	526
休息	2	527
回答	3	528
凶手	6	529
负责	4	530
外	2	531
碰	5	532
梦	4	533
睡觉	1	534
系统	5	535
滚	5	536
礼物	3	537
戴	4	538
错误	4	539
随便	4	540
头发	3	541
关心	3	542
底	4	543
报告	5	544
经历	4	545
六	1	546
老师	1	547
人类	5	548
冲	5	549
自由	5	550
支持	4	551
星期	1	552
脚	3	553
生气	3	554
建议	4	555
套	5	556
哭	3	557
屁股	6	558
生日	2	559
否则	4	560
画	3	561
光	4	562
安排	4	563
年轻	3	564
姑娘	5	565
钥匙	4	566
包	3	567
腿	3	568
选手	6	569
信息	4	570
投票	6	571
哥哥	2	572
手术	5	573
必要	5	574
票	2	575
撒谎	6	576
武器	6	577
痛苦	5	578
全部	4	579
手机	2	580
忘记	3	581
存在	5	582
首先	4	583
组	5	584
照	3	585
交	4	586
十	1	587
以及	5	588
台	4	589
搬	3	590
个人	5	591
代表	5	592
坚持	4	593
意义	5	594
楼	3	595
承认	5	596
理由	5	597
发誓	6	598
显然	5	599
政府	5	600
生意	4	601
心眼儿	6	602
遇到	3	603
火	2	604
猫	1	605
即使	4	606
到处	4	607
幸运	5	608
洗	2	609
挂	4	610
跳舞	2	611
新闻	3	612
信任	5	613
未来	5	614
道歉	4	615
可怜	4	616
实在	4	617
骗	4	618
根	3	619
吓	5	620
原谅	4	621
治疗	5	622
行为	5	623
比较	3	624
双	3	625
婚礼	5	626
弟弟	2	627
组织	5	628
见面	3	629
经常	3	630
老板	5	631
城市	3	632
合作	5	633
一会儿	3	634
乱	4	635
差不多	4	636
支	4	637
老婆	5	638
中心	5	639
可怕	5	640
满	3	641
假	3	642
明显	5	643
研究	4	644
意识	6	645
附近	3	646
打扰	4	647
线索	6	648
消失	5	649
妹妹	2	650
正确	4	651
位置	5	652
答应	5	653
收	4	654
砸	6	655
电脑	1	656
撞	5	657
借	3	658
秒	4	659
似乎	5	660
力量	5	661
命令	5	662
同时	4	663
提供	4	664
威胁	5	665
输	4	666
日子	5	667
号码	4	668
座	4	669
比如	4	670
严重	4	671
享受	5	672
战争	5	673
恭喜	5	674
影响	3	675
利用	5	676
恨	5	677
脱	4	678
陪	4	679
失踪	6	680
认真	3	681
真相	6	682
法律	4	683
训练	5	684
米	1	685
值得	4	686
热	1	687
使用	4	688
差	3	689
方面	4	690
银行	3	691
恐怖	6	692
原来	4	693
性感	6	694
酒吧	5	695
讨论	4	696
身份	5	697
说明	4	698
安静	3	699
模特	5	700
多么	3	701
饿	3	702
学生	1	703
红	2	704
下午	1	705
一旦	5	706
仍然	4	707
动作	4	708
追	5	709
意味着	6	710
受到	4	711
群	5	712
赶	4	713
